,city,year,weekofyear,total_cases
1151,iq,2009,27,1
1152,iq,2009,28,2
1153,iq,2009,29,0
1154,iq,2009,30,0
1155,iq,2009,31,3
1156,iq,2009,33,5
1157,iq,2009,34,7
1158,iq,2009,35,5
1159,iq,2009,36,2
1160,iq,2009,37,2
1161,iq,2009,38,2
1162,iq,2009,39,0
1163,iq,2009,40,2
1164,iq,2009,41,1
1165,iq,2009,42,1
1166,iq,2009,43,2
1167,iq,2009,44,2
1168,iq,2009,45,3
1169,iq,2009,46,9
1170,iq,2009,47,5
1171,iq,2009,48,5
1172,iq,2009,49,4
1173,iq,2009,50,4
1174,iq,2009,51,1
1175,iq,2009,52,0
1176,iq,2010,2,9
1177,iq,2010,3,17
1178,iq,2010,4,16
1179,iq,2010,5,11
1180,iq,2010,6,12
1181,iq,2010,7,19
1182,iq,2010,8,15
1183,iq,2010,9,12
1184,iq,2010,10,12
1185,iq,2010,11,16
1186,iq,2010,12,9
1187,iq,2010,13,4
1188,iq,2010,15,6
1189,iq,2010,16,8
1190,iq,2010,17,4
1191,iq,2010,18,2
1192,iq,2010,19,7
1193,iq,2010,20,6
1194,iq,2010,21,5
1195,iq,2010,22,8
1196,iq,2010,23,1
1197,iq,2010,24,1
1198,iq,2010,25,4
